Process,Scene,Character,Character_Name,Text,UI,Choice,Next
0_85,S003,C001,,抱歉。,U002,,0_86
0_86,S003,C011,,（冷静下来）我怎么觉得你……你看着有点眼熟。,U003,,0_87
0_87,S003,C001,,不会吧。不过我之前确实因为《饮鸩止渴》的主创采访来过这里。,U002,,0_88
0_88,S003,C001,,（思考）话说你觉得李导演的《饮鸩止渴》这部戏怎么样？,U002,,0_89
0_89,S003,C011,,（对突然转换的话题感到疑惑）啊？,U003,,0_90
0_90,S003,C011,,很好？很好啊。哼，反正比那个姓苏的同期上映的好，哈哈哈哈。<br>烂人配烂片！,U003,,0_91
0_91,S003,C001,,（嘟哝）看来我没记错。我就说嘛，我向来不会记错我采访过的人和事。,U002,,0_92
0_92,S003,C011,,记错什么？,U003,,0_93
0_93,S003,C001,,有人和我说《饮鸩止渴》的导演是吴导演，叫吴越冠。,U002,,0_94
0_94,S003,C011,,啊？这都能记错吗？不过这行枪手代笔不很多吗？烂得要死。,U003,,
0_95,S003,C023,活着的你,新闻真实永远是第一位的，今天又去进行了调查采访……,U004,直接问询:0_95a::;卡牌问询:0_96:CA021:CA020,
0_95a,S003,C023,活着的你,新闻真实永远是第一位的，今天又去进行了调查采访……,U004,,
0_96,S003,C023,活着的你,我去参加了《饮鸩止渴》的主创采访。,U003,,0_97
0_97,S003,C001,,我记得我很高兴，还拿走了一张李弦的角色海报。,U002,,0_98
0_98,S003,C002,,黑衣女人……对！《饮鸩止渴》的海报就是黑衣女人。,U002,,0_99
0_99,S003,C001,,等等……我不会是早就撞上这个怪谈了吧。,U002,,0_100
0_100,S003,C002,,我不会是被做局了吧！,U002,,0_101
0_101,S003,C023,活着的你,我最近睡眠质量差得离谱，老是做梦，然后莫名其妙就醒了……我梦到了什么来着？,U003,,0_102
0_102,S003,C001,,我梦到了什么来着？<br>我记得我去采访那个孙哥，对李弦的事感到很震惊。,U002,,0_103
0_103,S003,C023,活着的你,对，没错。,U003,,0_104
0_104,S003,C001,,对，没错。,U002,,0_105
0_105,S003,C023,活着的你,我采访《饮鸩止渴》主创拿走了一张角色海报，激动了一整天。,U003,,0_106
0_106,S003,C001,,那我睡不好，八成是和这两件事有关。<br>（你想起之前那对护士的话以及那一个个神情奇怪的工作人员）,U002,,0_107
0_107,S003,C023,活着的你,对，没错。,U003,,0_108
0_108,S003,C001,,难道我也梦见了那个黑衣女人?（环视房间后不断翻看自己的日记）,U002,,0_109
0_109,S003,C001,,我采访《饮鸩止渴》主创拿走了一张角色海报，激动了一整天。,U002,,0_110
0_110,S003,C023,活着的你,你最近睡眠质量差得离谱，老是做梦，然后莫名其妙就醒了……你梦到了什么来着？,U003,,0_111
0_111,S003,C001,,我感觉我也梦到了一个黑衣女人……,U002,,0_112
0_112,S003,C023,活着的你,你梦到了一个黑衣女人？,U003,,0_113
0_113,S003,C001,,是的。我梦到了一个黑衣女人。,U002,,0_114
0_114,S003,C023,活着的你,是的。我最近频繁梦见一个黑衣女人。,U003,,0_115
0_115,S003,C001,,对，没错。我生前频繁梦见一个黑衣女人,U002,,0_116
0_116,S003,C023,活着的你,对，没错。,U003,,
0_117,S003,C005,李弦,"Echo,妈妈好累啊……真是服了，最近又开始犯小人。",U004,直接问询:0_118::,
0_118,S003,C005,李弦,剧组又招了关系户，什么都不会。还有那个叫苏新辞的是吧……<br>呵呵。十八线呢跟姐耍大牌。,U002,,0_119
0_119,S003,C005,李弦,我当即选择让他看看谁是真正的大牌，卡了他一下午戏。<br>（仰头大笑）哈哈哈哈哈哈哈哈哈哈哈哈哈哈！,U002,,0_120
0_120,S003,C005,李弦,（突然安静）指不定背后怎么骂我呢。<br>（陷入长久的沉默）,U002,,0_121
0_121,S003,,,李弦招呼狗狗跳上沙发，将自己的脸埋进小狗蓬松的毛发中，许久不动。,U001,,0_122
0_122,S003,C005,李弦,真没意思。,U002,,0_123
0_123,S003,,,你保持着魂魄形态，漂浮在李弦家客厅的上空，<br>无意中听见了这段来自生前的李弦与她的小狗的对话。,U001,,0_124
0_124,S003,,,一段展示着与公众前形象反差巨大形象的李弦的独角戏。,U001,,0_125
0_125,S003,,,影后李弦在被指控杀人事件发生之前，圈内口碑一直非常好。,U001,,0_126
0_126,S003,,,时不时爆出一些“职场霸凌”“片场耍大牌”的料几乎都在第一时间就得到了澄清。,U001,,0_127
0_127,S003,,,你算得上是李弦遍布世界的庞大粉丝团中的一员，自以为对其算得上了解，<br>却没有想到私下的李弦是这样一副面孔。,U001,,0_128
0_128,S003,,,四十多的人，居然还奉行着这样直来直往的处事方式。,U001,,
