Process,Scene,Character,Character_Name,Text,UI,Choice,Next
0_162,S004,C010,陈伟,说起来我真是有点太冤了……我天生鼻子老流鼻涕。<br>现在叫什么来着？哦对，鼻炎。,U002,,0_163
0_163,S004,C003,,你别和我说你是打喷嚏喘不过气死山上了。,U002,,0_164
0_164,S004,C010,陈伟,（给你一个头槌）,U002,,0_165
0_165,S004,C010,陈伟,我也喜欢打牌，基本每次去都能遇上王大有。,U002,,0_166
0_166,S004,C010,陈伟,那天我去拿了点药，那家伙可能看到那种包起来的小白纸，就以为是——<br>那种东西你知道吧，一直追着我跑。,U002,,0_167
0_167,S004,C010,陈伟,那我当然得跑啊！<br>我也不知道怎么了，就跑到后山了，然后推搡间脑袋砸石头上了。,U002,,0_168
0_168,S004,C001,,……,U002,,0_169
0_169,S004,C010,陈伟,死啦。,U002,,0_170
0_170,S004,C001,,没人发现？他没被绳之以法？,U002,,0_171
0_171,S004,C010,陈伟,要不说你们大学<生好骗呢。30年前，这种小村子你指望警察？指望法律？<br>他随便刨个坑给我埋了，谁都不知道。,U002,,0_172
0_172,S004,C001,,我以为至少你的家人会……会想要真相。,U002,,0_173
0_173,S004,C010,陈伟,我也不是个好人，值得人惦记啊……,U002,,0_174
0_174,S004,C010,陈伟,没什么出息，老让父母操心，也就打牌能赚点钱。,U002,,0_175
0_175,S004,,,你有意想调节气氛，但发现自己实在不是这块料。,U001,,0_176
0_176,S004,C001,,赌神？哈哈。,U002,,0_177
0_177,S004,C010,陈伟,……,U002,,0_178
0_178,S004,C001,,对了，你是怪谈吧。（思索）你是那种能直接沙人的怪谈吗？,U002,,0_179
0_179,S004,C010,陈伟,啥意思。我掌管的怪谈只是每个上山扫墓的人都会回去打三天喷嚏。,U002,,0_180
0_180,S004,C001,,……<br>你知道王大有后来也意外死亡了吗？,U002,,0_181
0_181,S004,C010,陈伟,我知道啊，现世报嘛。,U002,,0_182
0_182,S004,C001,,你做的？我记得入岗福利是个合理范围内的心愿——<br>对怪谈局来说杀死这样一个烂人应该不是难事。,U002,,0_183
0_183,S004,C001,陈伟,（嗤笑）用不着。,U002,,0_184
0_184,S004,C001,陈伟,我什么都没做。他自己心虚，喝醉酒大雪天跑出来，倒雪地里冻死了。,U002,,0_185
0_185,S004,,,你没有相信陈伟的话。一个死去多年的怪谈的话不足以推翻已经在你心中成形的事实。,U001,,
0_186,S004,C015,村民,小伙子哪家的啊，今年多大啦？,U004,直接问询:0_186a::;卡牌问询:0_187:CA026:CA033,
0_186a,S004,C015,村民,小伙子哪家的啊，今年多大啦？,,,
0_187,S004,C015,村民A,小伙子，外来的吧，那村口的房子荒了多久了。,U003,,0_188
0_188,S004,C001,,哈哈哈，不瞒您说我确实第一次来。我是个作家，来采风的。,U002,,0_189
0_189,S004,C015,村民B,那……那地方说不定还真对你们这行人的胃口。,U003,,0_190
0_190,S004,C001,,怎么说？,U002,,0_191
0_191,S004,C015,村民A,那里原来住的是不是那个……那个……欸，你记得吗？,U003,,0_192
0_192,S004,C015,村民A,啧，就那个大学生嘛，姓王的。,U003,,0_193
0_193,S004,C015,村民B,哦对对对对，王兴。小伙子我跟你说啊，那边那家的孩子原来跟你一样是个大学生。<br>村里难得出一个啊。,U003,,0_194
0_194,S004,C001,,那他们是发达了，搬走了？,U002,,0_195
0_195,S004,C015,村民A,哪来的发达？人没饿死就很好啦。<br>那个孩子不知道怎么搞的不去工作，回来搞什么养殖场。,U003,,0_196
0_196,S004,C001,,养殖场也挺好的啊，怎么会跟“饿死”搭上关系。,U003,,0_197
0_197,S004,C015,村民A,他们倒霉啊。我们这南边几十年不下一次雪，就那年下雪了。<br>一下下好几天，房子塌了不少呢。,U003,,0_198
0_198,S004,C015,村民B,他这生意直接没法做了啊。后来那房子不知道咋就空了。有人说……<br>你过来点。,U003,,0_199
0_199,S004,C015,村民B,有人说啊，经常看见那房子里有黑影。有双眼睛。,U003,,0_200
0_200,S004,C001,,哈哈哈，真有这么邪乎？,U002,,0_201
0_201,S004,C015,村民B,你别不信啊。大姐你说是不是，咱们村的都知道的啊。,U003,,0_202
0_202,S004,C015,村民A,对啊。孩子我跟你说那一片都别去，咱们祠堂在北边这块，才压得住。,U003,,0_203
0_203,S004,C015,村民A,那村口南边那块靠后山的都邪得不行。,U003,,0_204
0_204,S004,C015,村民B,确实确实，隔几年就出点事。对了，那间屋子我怎么听说不是有个黑影呢<br>我怎么记得是有人说从里边传出来读书声啊。,U003,,0_205
0_205,S004,C015,村民A,嘶——那你这说得更吓人了。你知道吧小伙子？,U003,,0_206
0_206,S004,C001,,啊？我不太懂这些神神鬼鬼的。,U002,,0_207
0_207,S004,C015,村民A,不是，我跟你说，那个王兴啊前段时间刚被抓，搞那个什么六什么的邪教啊！,U003,,0_208
0_208,S004,C015,村民B,难怪他这房子也阴森森的。,U003,,0_209
0_209,S004,C002,,！！！,U002,,0_210
0_210,S004,C015,村民A,村里都没人想去管，那个房子居然就这么破破烂烂一直留到现在……,U003,,
0_211,S004,C006,王莉莉,名字代表什么？我们所称的玫瑰换个名字还是一样芳香。,U004,直接问询:0_211a::;卡牌问询:0_212:CA030:CA034,
0_211a,S004,C006,王莉莉,名字代表什么？我们所称的玫瑰换个名字还是一样芳香。,U004,,
0_212,S004,C001,,这是你的吗？<br>（即使年岁相差许多，你仍然认出了这是少年时的李弦）,U002,,0_213
0_213,S004,C006,王莉莉<br>(少年李弦）,（警惕地看着你）,U002,,0_214
0_214,S004,C001,,不是，我是个来采风的作家，我突然捡到了，然后……<br>（被盯得心虚）,U002,,0_215
0_215,S004,,,你看着拿走诗集，默默走远的少年李弦，还是选择叫住她。,U001,,0_216
0_216,S004,C001,,你这个时间到这种地方来是不是有点太危险了。,U002,,0_217
0_217,S004,C006,王莉莉<br>(少年李弦）,（警惕地看着你）你说你是作家？,U002,,0_218
0_218,S004,C001,,（强装镇定）是啊，是啊。,U002,,0_219
0_219,S004,C006,王莉莉<br>(少年李弦）,你写诗吗？或者剧本什么的，莎士比亚那种。,U002,,0_220
0_220,S004,C001,,呃……,U002,,0_221
0_221,S004,C006,王莉莉<br>(少年李弦）,啧。没出息。,U002,,0_222
0_222,S004,C003,,（嘟哝）你还真是从小就是这种性格啊。,U002,,0_223
0_223,S004,C006,王莉莉<br>(少年李弦）,你什么意思？（停顿）你要么下山，要么安静坐那，别打扰我。,U002,,0_224
0_224,S004,C001,,这哪有能坐的地方，不都是坟吗？,U002,,0_225
0_225,S004,C006,王莉莉<br>(少年李弦）,坟怎么了？他们将心虚的人挡在这座山之外，又做我最忠诚的观众，永远不会离开。,U002,,0_226
0_226,S004,,,你看着满山的坟，心想这里确实对一些人来说有一道被称为心虚或恐惧的围墙。<br>一个个立起的墓碑确实像极了一张张座椅，整齐地排列着。,U001,,0_227
0_227,S004,,,你看看自己，一个实际也是由魂魄伪装的人类，想着说不定这真的是一个座无虚席的剧场。,U001,,0_228
0_228,S004,C006,王莉莉<br>(少年李弦）,“啊，孩儿们，这全是你们父亲的疯病害了你们！”,U002,,0_229
0_229,S004,C001,,“可是我并没有亲手杀害他们。”,U002,,0_230
0_230,S004,C006,王莉莉<br>(少年李弦）,（愣了愣，而后调整了状态）<br>“可是你的狂妄和你新结的婚姻却害了他们。”,U002,,0_231
0_231,S004,,,你看着面前的李弦，或者说王莉莉，想起那则李爱薇的指控视频。<br>你很难想象这样一个即使挣扎也挣扎得意气风发的女孩会做出毒杀亲父的事，这太不潇洒磊落。,U001,,0_232
0_232,S004,C001,,“呀，你头上飘着两个报仇人的魂灵！”,U002,,0_233
0_233,S004,C006,王莉莉<br>(少年李弦）,“神明知道是谁首先害人的！”,U002,,0_234
0_234,S004,C001,,“神明知道你那可恶的心！”,U002,,0_235
0_235,S004,C006,王莉莉<br>(少年李弦）,“随你恨吧！我也是十分憎恶你在这里狂吠！”,U002,,0_236
0_236,S004,,,你们就这样对着台词，一直到天色暗下来。女孩跑下山。,U001,,
0_237,S004,,,（你保持着魂魄状态漂浮在这间村镇医院拿小隔间充当的病房）,U004,直接问询:0_238::,
0_238,S004,C024,胡永,（羞涩）我真没想到我这人还能因祸得福。<br>我可以娶……,U003,,0_239
0_239,S004,C008,李爱薇,我走不了的，走不了……,U002,,0_240
0_240,S004,C024,胡永,怎么会走不了！<br>你被打成这样，都进医院了！,U003,,0_241
0_241,S004,C008,李爱薇,可我和王大有结婚了。,U002,,0_242
0_242,S004,C024,胡永,心意是你自己的，腿也长在你自己身上！,U003,,0_243
0_243,S004,C008,李爱薇,我还有一个女儿……,U002,,0_244
0_244,S004,C024,胡永,（蹙眉沉默）,U003,,0_245
0_245,S004,C008,李爱薇,我也很想和你走的……对不起。,U002,,0_246
0_246,S004,C024,胡永,那就走。<br>你不说那人酗酒赌博吗？我拿钱给他，让他和你离婚！,U003,,0_247
0_247,S004,C008,李爱薇,（沉默）……,U002,,0_248
0_248,S004,C024,胡永,你和我走。一切我都会想办法解决。（抱住李爱薇）好不好？,U003,,0_249
0_249,S004,,,…………,U001,,0_250
0_250,S004,,,你始终沉默着听完了这段对话。他们的对话似乎没能探讨出个结果来，<br>但来自X025年的你已然知道事情发生的过程和结局。,U001,,0_251
0_251,S004,,,李爱薇和胡永走了。,U001,,0_252
0_252,S004,,,李爱薇和王大有离婚了。,U001,,0_253
0_253,S004,,,王大有意外死亡了。,U001,,0_254
0_254,S004,,,“李爱薇带走了王丽丽”这件事没有发生。,U001,,
0_255,S004,,,你认出了这位杂货店老板。,U004,直接问询:0_256::CA035,
0_256,S004,,,脑海中，X025年你采访的已入暮年的孙哥的轮廓和此时店中一副混混模样的青年慢慢重合在一起。,U001,,0_257
0_257,S004,,,你装成了一位来购买物品的客人。,U001,,0_258
0_258,S004,C001,,老板，田里草又长起来了，有农药卖吗？,U002,,0_259
0_259,S004,C013,孙哥,（奇怪地打量你）今天怎么回事？大冬天的一个个都来买这东西？,U003,,0_260
0_260,S004,C001,,还有谁来吗？,U002,,0_261
0_261,S004,C013,孙哥,没碰上？那孩子刚走不久。一小女孩。,U003,,0_262
0_262,S004,,,你心想没错，这确实和30年后他的证词能对得上。,U001,,0_263
0_263,S004,C013,孙哥,这孩子真蛮奇怪的，她买东西还不一次性买完。,U003,,0_264
0_264,S004,C001,,！！！（嘀咕）你之前也没提这茬啊……,U002,,0_265
0_265,S004,C013,孙哥,你说啥呢？,U003,,0_266
0_266,S004,C001,,没什么。你说那小女孩买了啥？,U002,,0_267
0_267,S004,C013,孙哥,（谨慎）不是，你打听这些做什么？,U003,,0_268
0_268,S004,C001,,不瞒您说，我是来这里采风的，刚刚村口碰上一女孩结果钱包不见了。<br>你说这……（你在心中疯狂道歉）,U002,,0_269
0_269,S004,C013,孙哥,原来如此啊！<br>我说那孩子也够怪的，大冬天一直在外面晃，我看她晃了好几圈了，也不回……,U003,,0_270
0_270,S004,C001,,（打断）她还买了什么？,U002,,0_271
0_271,S004,C013,孙哥,刚开始来买了瓶农药，然后买了点吃的。,U003,,0_272
0_272,S004,C001,,！！什么吃的？,U002,,0_273
0_273,S004,C013,孙哥,牛奶和火腿肠……哎，小伙子，这也就是些小钱。,U003,,0_274
0_274,S004,C013,孙哥,孩子也还小，我看你要不钱包找回来后，东西没丢也就别跟她计较了？,U003,,0_275
0_275,S004,C001,,（沉思）<br>我知道的。她就买了这些吗？,U002,,0_276
0_276,S004,C001,,我是想说，我可以再买点吃的给她。,U002,,0_277
0_277,S004,C013,孙哥,嘶……你这么说那孩子看着蛮可怜的。,U003,,0_278
0_278,S004,C013,孙哥,糟了，她不会是要紫砂吧！,U003,,0_279
0_279,S004,C002,,什么？！,U002,,0_280
0_280,S004,C013,孙哥,着急）她后来又重新来买了一瓶农药，一瓶啤，不，不是，两罐啤酒……<br>啤酒，啤酒——哎呀，我记得还来了一趟，人刚走没多久。,U003,,0_281
0_281,S004,C013,孙哥,一把水果刀！,U003,,0_282
0_282,S004,,,你没等孙哥想起来，就跑了出去。,U001,,0_283
0_283,S004,,,他说李弦刚走没多久，你说不定能在路上碰见。<br>说不定就能知道1995年大雪的这一天到底发生了什么。,U001,,0_284
0_284,S004,,,但你没有这么幸运，甚至没赶上看见任何一个即将被大雪抹平的脚印。,U001,,
